name,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,protection,fa_glofris,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets,id
Albania,9960.94072581355,2897366,0.57407,0,0.175,0.185279986031433,3,0.2,1.5,0.06,0.8,0.05,20,0.0736799394312604,0.195849799159708,1.11834749459963,2.13456550889161,6184617.53023526,4.52597046441827e-08,0.131133929406097,0,3.06145372439832,8870151.93164505,0.000307345842994992,0.697239187997568,0.000214293566004256,ALB
Angola,7488.01175983409,21471618,0.4405,0,0.175,0.432397390525115,3,0.2,1.5,0.06,0.8,0.05,20,0.017032878672477,0.125668031227677,1.35179041409718,0.278739330765426,5984984.43177088,2.02066890945822e-08,0.433870309283636,0,0.890874571480685,19128518.484747,0.000118973447165156,0.312882800439736,3.72247453270029e-05,AGO
Argentina,18087.1962616822,41446246,0.91751,0.733333333333333,0.375,0.269549514885176,3,0.2,1.5,0.06,0.8,0.05,20,0.0720578166408493,0.15106190614207,1.1979538860661,1.37254858355354,56886986.2409115,1.49808942814984e-08,0.620901829690976,0.0240333516396211,2.47952774361753,102767116.825797,0.000137087457212504,0.553552420248803,7.58850937257359e-05,ARG
Armenia,7526.83641911287,2976566,0.62673,0.4,0.425,0.366695721221747,3,0.2,1.5,0.06,0.8,0.05,20,0.0380005194262646,0.269617355755128,1.28972441138294,1.13203797927744,3369585.75982592,3.63712433462683e-08,0.108261406322228,0.0122160236428987,1.6160370755846,4810241.01392456,0.000214703360827798,0.700502480036183,0.000150400236731976,ARM
Australia,42834.0167597384,23129300,0.89423,0.8,0.916666666666667,0.273602390860095,3,0.2,1.5,0.06,0.8,0.05,20,0.0410903677822348,0.225160276956,1.20178249215673,1.96524631646527,45454771.6274201,4.59992426390109e-09,0.106393028277047,0.0627290737859285,2.77325531470381,64143454.1503787,6.47442272402179e-05,0.708642405207168,4.58805049147875e-05,AUS
Austria,44056.254416802,8479823,0.65968,0.8,0.891666666666667,0.23227851820729,3,0.2,1.5,0.06,0.8,0.05,20,0.0792192051575937,0.473076769832,1.16274531670249,3.07442212827699,26070555.4750721,6.76055456915567e-09,0.0573283061282813,0.298253019445528,4.25235070369656,36059181.3012723,9.65209312499979e-05,0.722993549333642,6.97840106694244e-05,AUT
Azerbaijan,16593.1887600482,9416801,0.5462,0,0.25,0.598221283185232,3,0.2,1.5,0.06,0.8,0.05,20,0.0571277156103262,0.428208034056247,1.50843827831516,0.703802438762521,6627567.50914135,7.8742816250215e-09,0.0741505430807841,0,1.145248241313,10784574.7840445,6.90191775597976e-05,0.614541383583026,4.24151408713605e-05,AZE
Bangladesh,2853.44774015566,156594962,0.34277,0.733333333333333,0.616666666666667,0.289708907624659,3,0.2,1.5,0.06,0.8,0.05,20,0.220011999853894,0.0734057697595131,1.2169977389507,1.68451223502945,263786129.432971,2.51259988996195e-07,39.3460484289796,0.0871874598848109,2.60584322862988,408061921.365253,0.000913226197192496,0.646436522551338,0.000590342767215899,BGD
Belarus,17054.5583344525,9466000,0.76667,0.733333333333333,0.516666666666667,0.386444536753824,3,0.2,1.5,0.06,0.8,0.05,20,0.0356350379685999,0.335363860985897,1.30838040675434,1.68371709201604,15938065.9930239,1.78473096481952e-08,0.168942633129815,0.0921566300766272,2.7049347831458,25604912.6572582,0.000158604798207027,0.622461252118583,9.87253412839609e-05,BLR
Belgium,40608.9720093428,11182817,0.97858,0,0.425,0.216691517437467,3,0.2,1.5,0.06,0.8,0.05,20,0.1009920225779,0.4651993574175,1.14802083797396,0.797376079249293,8916910.77442234,1.86406759282163e-09,0.0208455267661548,0,1.03834435577302,11611614.9135926,2.55693336815848e-05,0.767930287111412,1.96354657553469e-05,BEL
Benin,1733.30939936435,10323474,0.4395,0.666666666666667,0.25,0.330253321945844,3,0.2,1.5,0.06,0.8,0.05,20,0.0438648084929798,0.0829279892850982,1.25529858816789,0.151613384436922,1565176.83228657,6.22553013690283e-08,0.642690985045328,0.00282078347690206,0.305676884550483,3155647.37005791,0.000176354483892248,0.495992311161766,8.74704680494566e-05,BEN
Bolivia,5934.38797771874,10671200,0.68512,0.533333333333333,0.45,0.421834200421029,3,0.2,1.5,0.06,0.8,0.05,20,0.0464868947730589,0.25299094871638,1.34181174852258,0.604416879108206,6449853.40033949,3.8223073546796e-08,0.40788606243257,0.00548773530711747,1.18894512402739,12687471.2075211,0.000200348397929391,0.508363983243252,0.000101849909607789,BOL
Bosnia and Herzegovina,9387.35003138015,3829307,0.39767,0,0.125,0.323932232357003,3,0.2,1.5,0.06,0.8,0.05,20,0.136784128339952,0.140012908098234,1.24932728229792,1.33661145654851,5118295.60684141,3.56759793679365e-08,0.136614277525495,0,2.20791984866726,8454802.93194047,0.000235201610815256,0.605371366789113,0.000142384320610233,BIH
Botswana,15246.6087973119,2021144,0.57444,0.6,0.708333333333333,0.281178076714095,3,0.2,1.5,0.06,0.8,0.05,20,0.0349525825991302,0.0704262169611183,1.20893896997171,0.986323100319855,1993501.01627287,1.36524331589894e-08,0.0275935333646924,0.00960652208960717,1.74872277837102,3534420.55116792,0.000114695851491863,0.564024848603298,6.46913102731246e-05,BWA
Brazil,14555.0821953115,200361925,0.85687,0.866666666666667,0.558333333333333,0.265575010187584,3,0.2,1.5,0.06,0.8,0.05,20,0.0496619790626358,0.219035306294107,1.19419931450096,0.538713225706678,107937618.925549,7.51320046663009e-09,1.5053593084049,0.0089538533740223,0.897756615066997,179876243.576308,6.16799412755074e-05,0.600066005268561,3.70120359663932e-05,BRA
Bulgaria,15695.0177942759,7265115,0.73948,0.666666666666667,0.716666666666667,0.323078471507276,3,0.2,1.5,0.06,0.8,0.05,20,0.0406646206660324,0.4277098855128,1.24852076514579,0.743881787653868,5404386.73371093,8.27023896059681e-09,0.0600842371262163,0.020246921920914,1.1063670013726,8037883.49717713,7.04916054173641e-05,0.672364402346579,4.73960461468969e-05,BGR
Burkina Faso,1630.44449672717,16934839,0.29859,0.8,0.416666666666667,0.405665091881023,3,0.2,1.5,0.06,0.8,0.05,20,0.0112011364515432,0.345259870363266,1.32653737353072,0.0952164435511907,1612475.141692,3.04196755011118e-08,0.515152307043574,0.000892337868034362,0.136265611589247,2307636.19350042,8.35757438310692e-05,0.698756219127444,5.83990707701618e-05,BFA
Burundi,746.960151427392,10162532,0.12057,0.666666666666667,0.25,0.462979312717833,3,0.2,1.5,0.06,0.8,0.05,20,0.0130020550022508,0.10213299974961,1.3806800555012,0.0776934095519579,789561.760760878,9.63404643518949e-08,0.979063051870991,0.0015066539217351,0.13382216095401,1359971.99300427,0.000179155689494659,0.580572074147411,0.000104012790245224,BDI
Cambodia,2943.52466835185,15135169,0.20723,0,0.15,0.45929444965397,3,0.2,1.5,0.06,0.8,0.05,20,0.159795394950189,0.0290511983597887,1.37719909796469,1.14812226570913,17377024.5241706,2.0104696104132e-07,3.0428797322968,0,2.18458740503941,33064099.570543,0.000742167180906493,0.525555655525907,0.000390050159271127,KHM
